"Date","CPGRLE01USM657N"
2006-10-01,0.289575289575307
2006-11-01,-0.0962463907603652
2006-12-01,-0.144508670520227
2007-01-01,0.342016401350687
2007-02-01,0.530265517357434
2007-03-01,0.387830444929028
2007-04-01,0.184829675642973
2007-05-01,0.00237743151808271
2007-06-01,0.0751250499248831
2007-07-01,0.133983294848767
2007-08-01,0.168441230617404
2007-09-01,0.244894865734113
2007-10-01,0.326043812728019
2007-11-01,0.0551060202149603
2007-12-01,-0.0371878456939873
2008-01-01,0.368249543219887
2008-02-01,0.341562743386915
2008-03-01,0.467582504932986
2008-04-01,0.0898234248322374
2008-05-01,0.0562636299806054
2008-06-01,0.173343247513703
2008-07-01,0.228250128738637
2008-08-01,0.199495475479657
2008-09-01,0.178310759622309
2008-10-01,0.0742407614058725
2008-11-01,-0.153439957976817
2008-12-01,-0.272278370021687
2009-01-01,0.286441462285984
2009-02-01,0.44573849085682
2009-03-01,0.438247927050564
2009-04-01,0.230516970897217
2009-05-01,-0.00684484560310467
2009-06-01,0.0707349129276058
2009-07-01,0.0305541241227074
2009-08-01,0.112149532710279
2009-09-01,0.246361500209497
2009-10-01,0.269831968274294
2009-11-01,-0.15720492364009
2009-12-01,-0.162897488020912
2010-01-01,0.027724122258833
2010-02-01,0.234453804421917
2010-03-01,0.207160406523956
2010-04-01,0.0484033674268121
2010-05-01,0.0122080247415893
2010-06-01,0.0325507588395616
2010-07-01,-0.0031636273247028
2010-08-01,0.132424590297306
2010-09-01,0.160685350099986
2010-10-01,0.0775099478610276
2010-11-01,-0.000900580424087251
2010-12-01,-0.126982983379636
2011-01-01,0.172231114317263
2011-02-01,0.375376389095185
2011-03-01,0.304469286268392
2011-04-01,0.191336224238907
2011-05-01,0.185616505590811
2011-06-01,0.15899596497635
2011-07-01,0.121392141081683
2011-08-01,0.31532571814321
2011-09-01,0.183730752543457
2011-10-01,0.200628399966411
2011-11-01,0.0511592419611728
2011-12-01,-0.0524554899739404
2012-01-01,0.219193790244316
2012-02-01,0.27636344433346
2012-03-01,0.38180501612796
2012-04-01,0.248322294358102
2012-05-01,0.13039515401019
2012-06-01,0.120643548401146
2012-07-01,0.00609016047573171
2012-08-01,0.131800446294594
2012-09-01,0.253696849641161
2012-10-01,0.214923303579183
2012-11-01,-0.00562098964009661
2012-12-01,-0.0994538685392858
2013-01-01,0.250613548713831
2013-02-01,0.354040377873317
2013-03-01,0.266744682315695
2013-04-01,0.0789523368175441
2013-05-01,0.0968975629834236
2013-06-01,0.07624367134693
2013-07-01,0.065057353192954
2013-08-01,0.199322474678354
2013-09-01,0.223684996883766
2013-10-01,0.161852271468859
